dtstart,dtend,dtstamp,organizer,uid,attendee,created,description,last-modified,location,sequence,status,summary,transp
"2024-10-07T10:00:00Z","2024-10-07T11:00:00Z","2024-10-06T12:51:25Z","","445feb04cbd0fe7b06438b85d7d9299b@mulife.ie","","2024-08-22T13:04:45Z"," MU Soccer Indoor 5 A Side Futsal League You may be interested in play Indoor 5 A Side Futsal   ooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo","2024-09-09T23:59:57Z","MU Large Sports Hall (Phoenix)","0","CONFIRMED","MU Soccer 5 A Side Futsal League - Soccer [Physical Activity] MU Life","OPAQUE"
"2024-10-07T17:00:00Z","2024-10-07T18:00:00Z","2024-10-06T12:51:25Z","","9fd65b7bea302dc525356cfeaabf1584@mulife.ie","","2022-09-29T19:15:41Z","Fundamentals of Muay Thai and Kickboxing will run through the basics of punching, kicking, throwing knees and combinations as well as the fundamentals of footwork.  We will work on the basics by demonstration and work to hone those skills through shadow boxing and pad work. The class will also include conditioning through circuits, core conditioning, pad work and shadow boxing. Equipment required for beginners are hand wraps and gloves if you have them. For advanced fighters there will be light sparring with gumshields gloves and shin guards.","2024-09-09T23:59:57Z","Small Sports Hall (Phoenix Building)","0","CONFIRMED","Muay Thai and Kickboxing Fundamentals - Kickboxing [Physical Activity] MU Life","OPAQUE"
"2024-10-08T17:00:00Z","2024-10-08T18:00:00Z","2024-10-06T12:51:25Z","","f31140154094d6bf90ca89dfc6afa094@mulife.ie","","2021-09-28T16:53:58Z"," Beginners Aikido Class. We start with some warm up exercises and then move onto some movement drills and falling drills. Following this we will start on some basic techniques. All are welcome!","2024-09-11T05:59:57Z","PE Hall, Sports Centre","0","CONFIRMED","Aikido Class - Aikido [Physical Activity] MU Life","OPAQUE"
"2024-10-09T17:00:00Z","2024-10-09T18:00:00Z","2024-10-06T12:51:25Z","","81dbe2f2572bb4b786ed13e117487714@mulife.ie","","2022-09-29T19:26:55Z"," Wednesday sessions for advanced levels will include light sparring, partner drills and pad work, we will work specifically to hone previously gone over combinations and play around with stringing combinations together. We will also work to introduce new techniques both offensive and defensive as well as continuing to develop footwork. Conditioning will include leg and core conditioning. For sparring bring gum shield, wraps, gloves and shin guards. For beginners we will expand on fundamentals and techniques as well as flexibility, mobility and conditioning. Bring hand wraps and gloves if you have them.","2024-09-12T01:59:57Z","Small Sports Hall (Phoenix Building)","0","CONFIRMED","Muay Thai and Kickboxing Drills - Kickboxing [Physical Activity] MU Life","OPAQUE"
"2024-10-09T10:00:00Z","2024-10-09T11:00:00Z","2024-10-06T12:51:25Z","","d35f2d42f389b87af573f79c42a54c39@mulife.ie","","2021-10-20T10:20:18Z"," This is Wednesday's Test Activity,This is Wednesday's Test Activity,This is Wednesday's Test Activity. This is Wednesday's Test Activity,This is Wednesday's Test Activity,This is Wednesday's Test Activity,This is Wednesday's Test Activity. This is Wednesday's Test Activity","2024-09-12T01:59:57Z","JHI John Hume building","0","CONFIRMED","Wednesday's Test Activity - Test Society [Physical Activity] MU Life","OPAQUE"
"2024-10-09T17:30:00Z","2024-10-09T18:30:00Z","2024-10-06T12:51:25Z","","f44ca2fe225bdc353f6eee493faa6201@mulife.ie","","2023-10-10T17:18:30Z"," Hey :) We run different events every week such as Movie Screenings, Origami Nights, Haiku Nights etc. The details of what we are doing this week will be sent out in emails to members or you can check out our Instagram Mujapansoc. Open to whoever wants to come by. Hope to see you there! ","2024-09-12T01:59:57Z","Location updated weekly","0","CONFIRMED","Japanese Culture Society Weekly Meetup - Japanese Culture [Physical Activity] MU Life","OPAQUE"
"2024-10-10T17:00:00Z","2024-10-10T18:00:00Z","2024-10-06T12:51:25Z","","7701b3e46619b864155e81d33ff13c0a@mulife.ie","","2021-09-28T16:54:26Z"," Beginners Aikido Class. We begin with some stretching exercises, movement drills and falling drills. Then we will start looking at some basic techniques. All are welcome","2024-09-13T03:59:57Z","PE Hall, Sports Centre","0","CONFIRMED","Aikido Class - Aikido [Physical Activity] MU Life","OPAQUE"
"2024-10-11T13:00:00Z","2024-10-11T14:00:00Z","2024-10-06T12:51:25Z","","bd53cc3add46850b5e4f96529856c975@mulife.ie","","2022-09-29T23:24:41Z"," Focusing on the clinching aspect of Muay Thai, sweeps trips and knees are a huge aspect of Muay Thai and we will work from the basics with medium intensity clinch practice and light knees as well as sweeps","2024-09-14T01:59:57Z","PE Hall (Phoenix Building)","0","CONFIRMED","Muay Thai Clinch - Kickboxing [Physical Activity] MU Life","OPAQUE"
"2024-10-07T10:00:00Z","2024-10-07T11:00:00Z","2024-10-06T12:51:25Z","","e00fa357e5144965e814a5cd83c67590@mulife.ie","","2023-09-18T19:20:12Z"," Join us for a chill morning of coffee and conversation! Whether you're learning and want to practice your oral skills, or you're a native speaker and want to meet other people like you, this is the place for you. We aim to speak as much Spanish as we're each able to, and get to know each other while we do it. ¡Únete a nosotros! ¡Nos divertiremos!","2024-09-14T22:59:57Z","MSU Silken Thomas Yew Meeting Room","0","CONFIRMED","Café y Charlar - Conversation Hour - Spanish [Physical Activity] MU Life","OPAQUE"
"2024-10-14T10:00:00Z","2024-10-14T11:00:00Z","2024-10-06T12:51:25Z","","3ccc754b98aa0451464bd12332947f0b@mulife.ie","","2023-09-18T19:20:12Z"," Join us for a chill morning of coffee and conversation! Whether you're learning and want to practice your oral skills, or you're a native speaker and want to meet other people like you, this is the place for you. We aim to speak as much Spanish as we're each able to, and get to know each other while we do it. ¡Únete a nosotros! ¡Nos divertiremos!","2024-09-17T07:59:57Z","MSU Silken Thomas Yew Meeting Room","0","CONFIRMED","Café y Charlar - Conversation Hour - Spanish [Physical Activity] MU Life","OPAQUE"
"2024-10-14T10:00:00Z","2024-10-14T11:00:00Z","2024-10-06T12:51:25Z","","de26d952f6c0184f092bdfa6fe595f37@mulife.ie","","2024-08-22T13:04:45Z"," MU Soccer Indoor 5 A Side Futsal League You may be interested in play Indoor 5 A Side Futsal. Our Indoor 5 a side Futsal tournament takes place over March & April annually. For further Information contact barry.prenderville@mu.ie","2024-09-17T07:59:57Z","MU Large Sports Hall (Phoenix)","0","CONFIRMED","MU Soccer 5 A Side Futsal League - Soccer [Physical Activity] MU Life","OPAQUE"
"2024-10-14T17:00:00Z","2024-10-14T18:00:00Z","2024-10-06T12:51:25Z","","f57bf5773aa14dd1c61bcd2c154bfd4c@mulife.ie","","2022-09-29T19:15:41Z","Fundamentals of Muay Thai and Kickboxing will run through the basics of punching, kicking, throwing knees and combinations as well as the fundamentals of footwork.  We will work on the basics by demonstration and work to hone those skills through shadow boxing and pad work. The class will also include conditioning through circuits, core conditioning, pad work and shadow boxing. Equipment required for beginners are hand wraps and gloves if you have them. For advanced fighters there will be light sparring with gumshields gloves and shin guards.","2024-09-17T07:59:57Z","Small Sports Hall (Phoenix Building)","0","CONFIRMED","Muay Thai and Kickboxing Fundamentals - Kickboxing [Physical Activity] MU Life","OPAQUE"
"2024-10-15T17:00:00Z","2024-10-15T18:00:00Z","2024-10-06T12:51:25Z","","588743a834995200a089ec18fd723d91@mulife.ie","","2021-09-28T16:53:58Z"," Beginners Aikido Class. We start with some warm up exercises and then move onto some movement drills and falling drills. Following this we will start on some basic techniques. All are welcome!","2024-09-18T06:59:57Z","PE Hall, Sports Centre","0","CONFIRMED","Aikido Class - Aikido [Physical Activity] MU Life","OPAQUE"
